clone_desc,clone_id
eBFP2,Clone_1
tSapphire,Clone_2
"eBFP2, tSapphire",Clone_3
Venus,Clone_4
"eBFP2, Venus",Clone_5
"tSapphire, Venus",Clone_6
"eBFP2, tSapphire, Venus",Clone_7
tdTomato,Clone_8
"eBFP2, tdTomato",Clone_9
"tSapphire, tdTomato",Clone_10
"eBFP2, tSapphire, tdTomato",Clone_11
"Venus, tdTomato",Clone_12
"eBFP2, Venus, tdTomato",Clone_13
"tSapphire, Venus, tdTomato",Clone_14
"eBFP2, tSapphire, Venus, tdTomato",Clone_15
Katushka,Clone_16
"eBFP2, Katushka",Clone_17
"tSapphire, Katushka",Clone_18
"eBFP2, tSapphire, Katushka",Clone_19
"Venus, Katushka",Clone_20
"eBFP2, Venus, Katushka",Clone_21
"tSapphire, Venus, Katushka",Clone_22
"eBFP2, tSapphire, Venus, Katushka",Clone_23
"tdTomato, Katushka",Clone_24
"eBFP2, tdTomato, Katushka",Clone_25
"tSapphire, tdTomato, Katushka",Clone_26
"eBFP2, tSapphire, tdTomato, Katushka",Clone_27
"Venus, tdTomato, Katushka",Clone_28
"eBFP2, Venus, tdTomato, Katushka",Clone_29
"tSapphire, Venus, tdTomato, Katushka",Clone_30
"eBFP2, tSapphire, Venus, tdTomato, Katushka",Clone_31
